"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/crime.js", "JavaScript", 66, 0, 14, 80
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/daily.js", "JavaScript", 42, 0, 8, 50
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/deleteitem.js", "JavaScript", 32, 0, 11, 43
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/deposit.js", "JavaScript", 32, 0, 11, 43
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/fish.js", "JavaScript", 62, 0, 18, 80
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/hourly.js", "JavaScript", 42, 0, 8, 50
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/hunt.js", "JavaScript", 49, 0, 13, 62
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/leaderboard.js", "JavaScript", 23, 0, 11, 34
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/monthly.js", "JavaScript", 42, 0, 8, 50
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/pay.js", "JavaScript", 41, 0, 12, 53
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/present.js", "JavaScript", 42, 0, 9, 51
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/removemoney.js", "JavaScript", 43, 0, 11, 54
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/rob.js", "JavaScript", 79, 0, 15, 94
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/store.js", "JavaScript", 20, 0, 6, 26
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/weekly.js", "JavaScript", 42, 0, 8, 50
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/withdraw.js", "JavaScript", 32, 0, 11, 43
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/work.js", "JavaScript", 50, 0, 10, 60
"/Users/hayleycloud/Downloads/Aegis/src/commands/economy/yearly.js", "JavaScript", 46, 0, 8, 54
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/ascii.js", "JavaScript", 16, 0, 7, 23
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/birdfact.js", "JavaScript", 15, 0, 4, 19
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/catfact.js", "JavaScript", 15, 0, 4, 19
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/cleverrate.js", "JavaScript", 8, 0, 5, 13
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/confused.js", "JavaScript", 7, 0, 4, 11
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/dinochrome.js", "JavaScript", 75, 0, 21, 96
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/dogfact.js", "JavaScript", 15, 0, 4, 19
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/epicgamerrate.js", "JavaScript", 8, 0, 4, 12
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/fact.js", "JavaScript", 13, 0, 7, 20
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/gif.js", "JavaScript", 13, 0, 6, 19
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/hack.js", "JavaScript", 112, 0, 18, 130
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/howgay.js", "JavaScript", 12, 0, 4, 16
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/hug.js", "JavaScript", 18, 0, 7, 25
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/kill.js", "JavaScript", 197, 0, 8, 205
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/koalafact.js", "JavaScript", 15, 0, 4, 19
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/lovemeter.js", "JavaScript", 29, 0, 8, 37
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/pandafact.js", "JavaScript", 15, 0, 4, 19
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/reverse.js", "JavaScript", 8, 0, 4, 12
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/rickroll.js", "JavaScript", 17, 0, 5, 22
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/roast.js", "JavaScript", 85, 0, 6, 91
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/say.js", "JavaScript", 14, 0, 5, 19
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/simprate.js", "JavaScript", 8, 0, 4, 12
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/stankrate.js", "JavaScript", 8, 0, 4, 12
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/sudo.js", "JavaScript", 17, 0, 7, 24
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/token.js", "JavaScript", 15, 0, 6, 21
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/worldclock.js", "JavaScript", 75, 0, 4, 79
"/Users/hayleycloud/Downloads/Aegis/src/commands/fun/xmas.js", "JavaScript", 15, 0, 3, 18
"/Users/hayleycloud/Downloads/Aegis/src/commands/gambling/blackjack.js", "JavaScript", 306, 0, 21, 327
"/Users/hayleycloud/Downloads/Aegis/src/commands/gambling/crash.js", "JavaScript", 149, 0, 22, 171
"/Users/hayleycloud/Downloads/Aegis/src/commands/gambling/roulette.js", "JavaScript", 49, 0, 17, 66
"/Users/hayleycloud/Downloads/Aegis/src/commands/gambling/slots.js", "JavaScript", 63, 0, 13, 76
"/Users/hayleycloud/Downloads/Aegis/src/commands/games/8ball.js", "JavaScript", 39, 0, 6, 45
"/Users/hayleycloud/Downloads/Aegis/src/commands/games/fasttype.js", "JavaScript", 121, 0, 13, 134
"/Users/hayleycloud/Downloads/Aegis/src/commands/games/music-trivia.js", "JavaScript", 80, 0, 22, 102
"/Users/hayleycloud/Downloads/Aegis/src/commands/games/roll.js", "JavaScript", 9, 0, 4, 13
"/Users/hayleycloud/Downloads/Aegis/src/commands/games/rps.js", "JavaScript", 59, 0, 13, 72
"/Users/hayleycloud/Downloads/Aegis/src/commands/games/skipword.js", "JavaScript", 31, 0, 8, 39
"/Users/hayleycloud/Downloads/Aegis/src/commands/games/snake.js", "JavaScript", 331, 0, 28, 359
"/Users/hayleycloud/Downloads/Aegis/src/commands/games/trivia.js", "JavaScript", 336, 0, 33, 369
"/Users/hayleycloud/Downloads/Aegis/src/commands/games/willyoupressthebutton.js", "JavaScript", 102, 0, 12, 114
"/Users/hayleycloud/Downloads/Aegis/src/commands/games/wouldyourather.js", "JavaScript", 117, 0, 16, 133
"/Users/hayleycloud/Downloads/Aegis/src/commands/giveaway/delete.js", "JavaScript", 18, 0, 3, 21
"/Users/hayleycloud/Downloads/Aegis/src/commands/giveaway/drop.js", "JavaScript", 53, 0, 5, 58
"/Users/hayleycloud/Downloads/Aegis/src/commands/giveaway/edit.js", "JavaScript", 21, 0, 3, 24
"/Users/hayleycloud/Downloads/Aegis/src/commands/giveaway/end.js", "JavaScript", 20, 0, 3, 23
"/Users/hayleycloud/Downloads/Aegis/src/commands/giveaway/pause.js", "JavaScript", 18, 0, 3, 21
"/Users/hayleycloud/Downloads/Aegis/src/commands/giveaway/reroll.js", "JavaScript", 18, 7, 3, 28
"/Users/hayleycloud/Downloads/Aegis/src/commands/giveaway/start.js", "JavaScript", 52, 0, 5, 57
"/Users/hayleycloud/Downloads/Aegis/src/commands/giveaway/unpause.js", "JavaScript", 18, 0, 3, 21
"/Users/hayleycloud/Downloads/Aegis/src/commands/guild/channelinfo.js", "JavaScript", 46, 0, 4, 50
"/Users/hayleycloud/Downloads/Aegis/src/commands/guild/emojis.js", "JavaScript", 40, 0, 7, 47
"/Users/hayleycloud/Downloads/Aegis/src/commands/guild/info.js", "JavaScript", 133, 0, 8, 141
"/Users/hayleycloud/Downloads/Aegis/src/commands/guild/inviteinfo.js", "JavaScript", 101, 0, 10, 111
"/Users/hayleycloud/Downloads/Aegis/src/commands/guild/members.js", "JavaScript", 26, 0, 4, 30
"/Users/hayleycloud/Downloads/Aegis/src/commands/guild/oldestmember.js", "JavaScript", 24, 0, 5, 29
"/Users/hayleycloud/Downloads/Aegis/src/commands/guild/roleinfo.js", "JavaScript", 32, 0, 4, 36
"/Users/hayleycloud/Downloads/Aegis/src/commands/guild/stealemoji.js", "JavaScript", 70, 0, 7, 77
"/Users/hayleycloud/Downloads/Aegis/src/commands/guild/userinfo.js", "JavaScript", 104, 0, 7, 111
"/Users/hayleycloud/Downloads/Aegis/src/commands/guild/youngestmember.js", "JavaScript", 24, 0, 5, 29
